購買比率	Purchase Rate	구매 비율
所持金額	Funds	소지금
可購買點數	Can Purchase	구매 가능 포인트
消費持有金額	Amount Spent	소비 소지금
殘餘持有金額	Amount Left	잔여 소지금
隊伍倉庫	Team Storage	팀 창고
領取道具	Retrieve Item	아이템 수령
交易時間	Transaction	거래일시
存款	Deposit	입금
提款	Withdrawal	출금
殘額	Remaining	잔액
我的成就	My Achievements	나의 업적
伺服器排名	Server Ranking	서버 랭킹
隊伍名稱	Team	팀명
角色名稱	Character	캐릭명
消滅次數	Defeated	처치횟수
說明	Descpription	설명문
次類別	Subcategory	하위 카테고리
關聯特性	Attributes	관련 특성
職業	Profession	직업
總營收	Total Sales	총 매출
名稱遞增排序	Name A-Z	이름 올림차 순
名稱遞減排序	Name Z-A	이름 내림차 순
交易選項	Tradability	거래 옵션
進場等級	Entry Level	입장 레벨
難易度	Difficulty	난이도
清除次數	Clears	클리어 횟수
星	Order	별
地下城位置	Location	던전위치
探險	Exploration	탐험
#NAME?	Exploration	- 탐색율
種類	Type	종류
狀態	Status	상태
精神 +6	SPR +6	정신 +6
冒險日誌排名	Adventure Journal Ranking	모험일지 랭킹
戰績	Records	전적
分數	Score	점수
高地防守排名	Uphill Defense Ranking	업힐디펜스 랭킹
累積點數	Total Points	누적 포인트
地區名稱	Area	지역 이름
全部獲得	Retrieve All	모두 받기
再點擊一次取消全選	Click again to de-select all	한번 더 클릭시 전체 해제
道具名稱	Item Name	아이템 이름
剩餘數量	Remaining Number	남은 개수
簽到期間	Check Period	출석 체크 기간
3小時 16分	3 hours 16 minutes	3시간 16분
書名	Book Name	책이름
10分	10 minutes	10분
10秒	10 seconds	10초
目前潛力	Current Potential	현재 포텐셜
消耗材料	Consumable Material	소비 재료
消耗 數量	Consume Quantity	소비 개수
持有 數量	Quantity Available	보유 개수
變更外型	Change Appearance	외형 변경
商店名稱	Shop Name	상점 이름
卷軸販賣商店	Spell Sell Shop	주문 판매상점
營地維持時間	Camp Duration	캠프 유지 시간
效果	Effect	효과
個人倉庫	Personal Storage	개인 창고
卡片大戰	Card Battles	카드대전
腳數量	Legs Quantity	다리개수
身高	Key	키
體重	Weight	몸무게
卡片決定	Select Card	카드 결정
馬車選單	Carriage Menu	마차메뉴
挑選	Casting	캐스팅
職業Tip	Class Tip	클래스Tip
可轉職通知	Advancement Alarm	전직 가능 알람
領地戰提醒訊息	Territory Wars Alert	콜로니전 알람 메세지
目前佔領中的公會	Spot Last Seized By	현재 점령 중인 길드
佔領點數現況	Current Points	점령 포인트 현황
我的公會	My Guild	내 길드
佔領公會名稱	Protecting Guild	점령 길드 이름
請取名	Name	이름을 지어주세요
設定	Settings	설정
女神像HP	Goddess Statue HP	여신상HP
回合	Round	라운드
玩家	Player	플레이어
我方	Ally	아군
敵軍	Enemy	적군
NPC名稱	NPC Name	엔피씨이름
比較	Compare	비교
插圖	Illustration	일러스트
選擇對話	Select a conversation	대화 선택
Text Help	Text Help	텍스트 헬프
挑戰	Challenge	도전
請選擇進行與否。	Please choose to proceed	진행 여부를 선택하세요
前往下一層樓	Moving to the next floor	다음층으로 이동
樓層	F	층
 商店名稱	 Store Name	 상점 이름
消耗材料	Consumable Material	소비재료
任務情報	Quest Information	퀘스트 정보
VIP一致	Token Match	토큰일치
請放上道具。	Please insert your items	아이템을 올려주세요
參與遊戲	Join Game	게임 참여
預設噴槍	Spray Presets	스프레이 프리셋
釣魚點數	Points	낚시 포인트
主卡片	Main Card	메인 카드
副卡片	Secondary Card	보조카드
防禦力	Defense	방어력
統合 公會戰鬥排名	Regional GvG Rankings	통합 길드배틀랭킹
我的公會排名	My Guild Ranking	내 길드 순위
上一季排名	Last Season Standings	지난 시즌 랭킹
第一名	1st	1위
300TP 交換券20張	20 x 300 TP Vouchers	300TP 교환권 20장
領取獎勵	Receive Rewards	보상 받기
登錄	Enter	등록
公會大師	Guild Master	길드 마스터
公會創建日	Founded	길드 개설일
公會成員	Members	길드원
公會資金	Funds	길드 자금
公告文	News	공지글
介紹文	Notes	소개글
貢獻度	Contribution	기여도
只查看上線人員	Show online	접속 인원만 보기
公會優惠	Benefits	길드 혜택
備註	Note	비고
中立解除通知	Neutral Status Canceled Alert	중립 해제 알람
中立宣言	Declare Neutral	중립 선언
戰爭公會目錄	Guild Wars List	전쟁 길드 목록
剩餘戰爭時間	Remaining Time	남은 전쟁 시간
何謂公會領地戰	What are Territory Wars	길드 콜로니전이란
是否參加	Status	참가 여부
未參加	Not Participating	미참가
佔領地區	Spot Areas	점령 지역
地區等級	Grade	지역 등급
佔領獎勵	Spot Rewards	점령보상
