輕裝步兵大師	Peltasta Master	펠타스타 마스터
這點程度都做不到，怎麼肩負輕裝步兵之名呢？	How can you bear the title of Peltasta if you can't even handle that much? 	그 정도도 해내지 못하고서야 어찌 펠타스타의 이름을 짊어진단 말입니까?
高地戰士大師	Highlander Master	하이랜더 마스터
烈焰法師大師	Pyromancer Master	파이로맨서 마스터
寒冰法師大師	Cryomancer Master	크리오맨서 마스터
獵人大師	Hunter Master	헌터 마스터
野蠻人大師	Barbarian Master	바바리안 마스터
念力法師大師	Psychokino Master	사이코키노 마스터
鎖鏈法師大師	Linker Master	링커 마스터
牧師大師	Cleric Master	클레릭 마스터
還沒從獵人大師那裡取得梅羅葛的皮革？	Do you have the Merog leather yet from the Hunter Master?	헌터 마스터에게서 메로그 가죽은 아직인가?
還沒從弓箭手大師那裡取得梅羅葛的皮革嗎？	Did the Merog leather come from the Archer Master?	아처 마스터에게서 메로그 가죽은 아직인가?
雕刻家泰斯拉	Sculptor Tesla	조각가 테슬라
聖火祭司大師	Krivis Master	크리비 마스터
劍士大師	Swordsman Master	소드맨 마스터
巫師大師	Sorcerer Master	소서러 마스터
死靈法師大師	Necromancer Master	네크로맨서 마스터
德魯伊大師	Druid Master	드루이드 마스터
百夫長大師	Centurion Master	센츄리온 마스터
刀騎兵大師	Hackapell Master	하카펠 마스터
巫蠱師大師	Wugushi Master	무고사 마스터
奇術師大師	Thaumaturge Master	쏘마터지 마스터
斥候大師	Scout Master	스카우트 마스터
聖殿十字軍大師	Paladin Master	팔라딘 마스터
造箭者大師	Fletcher Master	플레쳐 마스터
盡全力都來不及了，還東張西望？	Do you think otherwise even when your best is not enough?	최선을 다해 덤벼도 모자를 판에 한눈을 팔 셈인가?
流氓大師	Rogue Master	로그 마스터
當同伴面臨危機，你有勇氣讓敵人的刀口轉向自己嗎？	Are you brave enough to turn the enemy's blade to you when your allies are in danger?	동료가 위험에 처했을 때, 적의 칼날을 내게 돌리게 할 수 있는 용기가 있나?
巫蠱師中毒病怏怏的，像話嗎？	Would it make sense if Wugushi is poisoned and weak?	무고사가 독에 당해 시름시름 앓는다면 그게 말이 되겠어?
黑暗騎兵大師	Schwarzer Reiter Master	슈바르츠라이터 마스터
武僧大師	Monk Master	몽크 마스터
寬恕者大師	Pardoner Master	파드너 마스터
時空法師大師	Chronomancer Master	크로노맨서 마스터
聖火祭司兄弟	Krivis Brother	크리비 형제
神諭師大師	Oracle Master	오라클 마스터
米爾堤斯	Mirtis	미르티스
物件文本	Object Text	사물 텍스트
七彩谷日誌	Seven Valley Diary	칠채곡 일기
加橋森林	Woods of Attached Bridge	덧댄다리숲
石化城	Petrified City	석화된 도시
聖殿十字軍追隨者	Paladin Follower	팔라딘 추종자
礦山監督官	The Mine Supervisor	광산 감독관
委託所	Request Center	의뢰소
區域區域情報	The regional information	지역 지역 정보
蘊藏啟示的石版	The stone plate with the revelation	계시가 담긴 석판
藏書	Books	장서
家	Family	가
利迪亞夏班的轉折點	Lydia Schaffen Crossroads	리디아 샤펜의 교차선
利迪亞夏班的箭尾槽	Lydia Schaffen's Notch	리디아 샤펜의 오늬
利迪亞夏班和侏儒怪	Lydia Schaffen and Rumpelstiltskin 	리디아 샤펜과 럼펠스틸스킨
擴充自我	The Expansion of Atman	아트만의 확장
擴充自我{/} 	The Expansion of Atman	아트만의 확장{/} 
卡杜梅爾時代的盔甲	Armor from the Kadumel Era	카듀멜 시대의 갑주
因此本筆者暫時 	So I shall call this Mana Metal 	하여 본 필자는 이 마나 메탈을 잠정적으로 
將此魔法合金命名為	Cold Iron	한철
基本型	Basic Type	기본형
猛烈升級[野蠻人轉職]	Rough Advancement [Barbarian Advancement]	거친 승급[바바리안 전직]
答應與大師戰鬥。	Accept the battle with the Master	마스터와 전투를 받아들인다
逃避戰鬥。	Avoid the battle	전투를 피한다
光明的未來[重裝步兵轉職]	Bright Future [Hoplite Advancement]	창창한 미래[하플라이트 전직]
我要執行任務。	I'll take on the assignment	과제를 수행하겠다고 한다
麻煩的任務[念力法師轉職](1)	Bothersome Mission [Psychokino Advancement] (1)	신경 쓰이는 임무[사이코키노 전직](1)
我要當助手。	I'll be the assistant	조수가 되겠다고 한다
我不需要。	I don't need it	필요 없다고 한다
麻煩的任務[念力法師轉職](2)	Bothering Mission [Psychokino Advancement] (2)	신경 쓰이는 임무[사이코키노 전직](2)
要確認研究結果。	I will check out the results of the research	연구 결과를 확인해 보겠다고 한다
覺得看起來很危險。	Tell him that it looks somewhat dangerous	왠지 위험해 보인다고 한다
世界上不存在的書[鎖鏈法師轉職](1)	Non-existent Book [Linker Advancement] (1)	세상에 없던 책[링커 전직](1)
準備考驗所需的材料。	Prepare the materials for the test	시험에 필요한 재료를 준비해 준다
我要再考慮一下。	I need more time to think	좀 더 생각해본다
世界上不存在的書[鎖鏈法師轉職](2)	Non-existent Book [Linker Advancement] (2)	세상에 없던 책[링커 전직](2)
我接受考驗	I'll take the test	시험을 치르겠다고 한다
我沒把握	I'm not so sure about it	자신 없다고 한다
作賊心虛[工兵轉職](1)	Guilty Conscience [Sapper Advancement] (1)	도둑이 제 발 저린다[새퍼 전직](1)
歸還其他物品。	I will hand over the object on behalf of him	대신 물건을 돌려 주겠다고 한다
作賊心虛[工兵轉職](2)	Guilty Conscience [Sapper Advancement] (2)	도둑이 제 발 저린다[새퍼 전직](2)
作賊心虛[工兵轉職](3)	Guilty Conscience [Sapper Advancement] (3)	도둑이 제 발 저린다[새퍼 전직](3)
作賊心虛[工兵轉職](4)	Guilty Conscience [Sapper Advancement] (4)	도둑이 제 발 저린다[새퍼 전직](4)
夢幻弓之書1[獵人轉職](1)	A Bower's Dream Book [Hunter Advancement] (1)	활이 꿈꾸는 책1[헌터 전직](1)
我會找到書	I'll go find the book	책을 찾아 오겠다고 한다
我沒時間找	I don't have time for that	그럴 시간은 없다고 한다
夢幻弓之書1[獵人轉職](2)	Dream Book of the Bow [Hunter Advancement] (2)	활이 꿈꾸는 책1[헌터 전직](2)
我會找到皮革並把書帶來	I will get the leather and bring the book	가죽을 구해 책을 받아오겠다고 한다
夢幻弓之書1[獵人轉職](3)	Dream Book of the Bow [Hunter Advancement] (3)	활이 꿈꾸는 책1[헌터 전직](3)
我要去找弓箭手大師	I'll go to the Archer Master	아처 마스터에게 가 보겠다고 한다
夢幻弓之書1[獵人轉職](4)	Dream Book of the Bow [Hunter Advancement] (4)	활이 꿈꾸는 책1[헌터 전직](4)
我會轉交袋子	I'll deliver the pouch	주머니를 전하겠다고 한다
夢幻弓之書2[弩箭手轉職](1)	Dream Book of the Bow 2 [Quarrel Shooter Advancement] (1)	활이 꿈꾸는 책2[쿼렐슈터 전직](1)
夢幻弓之書2[弩箭手轉職](2)	Dream Book of the Bow 2 [Quarrel Shooter Advancement] (2)	활이 꿈꾸는 책2[쿼렐슈터 전직](2)
我會代付書錢	I'll pay for the book	책 값을 대신 치르겠다고 한다
我也沒錢	I don't have money either	나도 돈이 없다고 한다
夢幻弓之書2[弩箭手轉職](3)	Dream Book of the Bow 2 [Quarrel Shooter Advancement] (3)	활이 꿈꾸는 책2[쿼렐슈터 전직](3)
我去找弓箭手大師	I'll go to the Archer Master	아처 마스터에게 다녀 오겠다고 한다
我不去	I'll quit here	그만두겠다고 한다
夢幻弓之書2[弩箭手轉職](4)	Dream Book of the Bow 2 [Quarrel Shooter Advancement] (4)	활이 꿈꾸는 책2[쿼렐슈터 전직](4)
夢幻弓之書3[弓箭手轉職](1)	Dream Book of the Bow 3 [Archer Advancement] (1)	활이 꿈꾸는 책3[아처 전직](1)
我以後再來	I will get it again later	나중에 다시 오겠다고 한다
夢幻弓之書3[弓箭手轉職](2)	Dream Book of the Bow 3 [Archer Advancement] (2)	활이 꿈꾸는 책3[아처 전직](2)
給我準備書錢的時間	I need time to prepare money for the book	책 값을 준비해 올 시간을 달라고 한다
夢幻弓之書3[弓箭手轉職](3)	Dream Book of the Bow 3 [Archer Advancement] (3)	활이 꿈꾸는 책3[아처 전직](3)
給我一點時間準備	I need some time to prepare	잠시 준비할 시간을 달라고 한다
夢幻弓之書3[弓箭手轉職](4)	Dream Book of the Bow 3 [Archer Advancement] (4)	활이 꿈꾸는 책3[아처 전직](4)
夢幻弓之書4[遊俠轉職](1)	Dream Book of the Bow 4 [Ranger Advancement] (1)	활이 꿈꾸는 책4[레인저 전직](1)
夢幻弓之書4[遊俠轉職](2)	Dream Book of the Bow 4 [Ranger Advancement] (2)	활이 꿈꾸는 책4[레인저 전직](2)
夢幻弓之書4[遊俠轉職](3)	Dream Book of the Bow 4 [Ranger Advancement] (3)	활이 꿈꾸는 책4[레인저 전직](3)
夢幻弓之書4[遊俠轉職](4)	Dream Book of the Bow 4 [Ranger Advancement] (4)	활이 꿈꾸는 책4[레인저 전직](4)
詢問要如何使用。	How is it used?	어떻게 이용할 지 묻는다
夢幻弓之書4[遊俠轉職](5)	Dream Book of the Bow 4 [Ranger Advancement] (5)	활이 꿈꾸는 책4[레인저 전직](5)
最棒的材料[雕刻師轉職]	The Best Material [Dievdirbys Advancement]	최고의 소재[딥디르비 전직]
哪裡可以找到水晶？	Where are the crystals found?	수정을 어디서 찾을 수 있는지 물어본다
花漾盾牌[高地戰士轉職](1)	Shield over Flowers [Highlander Advancement] (1)	꽃보다 방패[하이랜더 전직](1)
詢問任務為何。	What is the mission?	임무가 무엇인지 묻는다
花漾盾牌[高地戰士轉職](2)	Shield over Flowers [Highlander Advancement] (2)	꽃보다 방패[하이랜더 전직](2)
盟約的義務[輕裝步兵轉職](1)	Duty of the Pledge [Peltasta Advancement](1)	맹약에 대한 도리[펠타스타 전직](1)
要去騎士團長烏斯卡那裏	I will go meet the Knights' leader Uska	기사단장 우스카에게 가보겠다고 한다
盟約的義務[輕裝步兵轉職](2)	Duty of the Pledge [Peltasta Advancement] (2)	맹약에 대한 도리[펠타스타 전직](2)
要尋找偵察部隊。	I will search for the Reconnaissance Squad	정찰부대를 찾아보겠다 한다
有關誓約的道理[輕裝步兵轉職](3)	Duty of the Pledge [Peltasta Advancement] (3)	맹약에 대한 도리[펠타스타 전직](3)
有關誓約的道理[輕裝步兵轉職](4)	Duty of the Pledge [Peltasta Advancement] (4)	맹약에 대한 도리[펠타스타 전직](4)
火的精髓[烈焰法師轉職]	Essence of Fire [Pyromancer Advancement]	불의 정수[파이로맨서 전직]
我會收集火之氣息	I will collect the energies of fire for you	불의 기운을 모아 오겠다고 한다
寒鐵的傳說[寒冰法師轉職](1)	Legend of the Cold Iron [Cryomancer Advancement] (1)	한철의 전설[크리오맨서 전직](1)
寒鐵的傳說[寒冰法師轉職](2)	Legend of the Cold Iron [Cryomancer Advancement] (2)	한철의 전설[크리오맨서 전직](2)
我找看看	I'll try to find them	찾아보겠다고 한다
